bookId,userId
1585765,21889
1598407,22283
1598407,26211
1598407,26722
1630887,23280
1647641,24259
736576,21052
334329,1189
334329,1309
334329,847
334329,3470
334329,770
334329,1135
334329,3048
334329,3112
334329,4448
334329,984
334329,11610
334329,3684
334329,5605
334329,4900
334329,5118
334329,7196
334329,7319
334329,1599
334329,25313
334329,7227
334329,6903
334329,9325
334329,7884
334329,7300
334329,2871
334329,11712
334329,8986
334329,20619
334329,4135
334329,11907
334329,9248
334329,9300
334329,10865
334329,9836
334329,10786
334329,10995
334329,11049
334329,4621
334329,11104
334329,11116
334329,12257
334329,11273
334329,12407
334329,13333
334329,25322
334329,24673
334329,24678
334329,13987
334329,14022
334329,14047
334329,14633
334329,15280
334329,25047
334329,15541
334329,16252
334329,21693
334329,18265
334329,22660
334329,19413
334329,22640
334329,19919
334329,20110
334329,25101
334329,23930
334329,25255
334329,25100
334329,25526
334329,26431
334329,26551
334329,27467
1598428,22283
