userId,reviewId
21889,4937092
22283,5016875
22283,5791625
22283,5913852
23280,5250456
24259,5405336
21052,4767558
1189,264177
1189,290810
1189,172891
1189,821579
1189,163629
1189,256162
1189,706661
1189,732785
1189,1059056
1189,228328
1189,2878629
1189,884424
1189,1305751
1189,1154182
1189,1205975
1189,1715048
1189,1749418
1189,360829
1189,5620509
1189,1720994
1189,1619724
1189,2456178
1189,1903808
1189,1738872
1189,633573
1189,2919583
1189,2070898
1189,4673463
1189,994285
1189,2987511
1189,2188699
1189,2225688
1189,3015594
1189,2345637
1189,2659862
1189,2682101
1189,2697824
1189,1094701
1189,2712443
1189,2735259
1189,3091146
1189,2771268
1189,3117781
1189,3357678
1189,5623983
1189,5476076
1189,5477068
1189,3497421
1189,3505434
1189,3509403
1189,3646943
1189,3777578
1189,5628239
1189,3820457
1189,3924932
1189,4982040
1189,4222964
1189,5104407
1189,4463949
1189,5128166
1189,4572040
1189,4597784
1189,5581452
1189,5346091
1189,5606889
1189,5639309
1189,5670008
1189,5826317
1189,5871378
1189,6033890
22283,5016882
