bookId,reviewId
1615543,5145856
528731,211072
528731,223208
528731,511547
528731,604500
528731,759198
528731,931671
528731,1973856
528731,2117831
528731,1973761
528731,2012152
528731,3105457
528731,4755457
528731,3162911
528731,3176085
528731,3309270
528731,4829496
528731,4838452
528731,3524785
528731,5500327
528731,4087540
528731,5080033
528731,4323604
528731,4344307
528731,4353709
528731,4356894
528731,5129935
528731,4552617
528731,5848609
528731,5977818
1574227,4828711
1615547,5145855
1554777,4662512
1554777,5767870
1467719,4814216
1467719,4098157
1467719,5284000
