authorId,Books
119516,"[{'bookId': 899322, 'publicationYear': 2012, 'genre': None}, {'bookId': 773507, 'publicationYear': 2020, 'genre': None}, {'bookId': 145140, 'publicationYear': 2008, 'genre': None}, {'bookId': 1042979, 'publicationYear': 2000, 'genre': None}]"
205651,"[{'bookId': 199656, 'publicationYear': None, 'genre': None}, {'bookId': 1294110, 'publicationYear': 1988, 'genre': None}]"
205670,"[{'bookId': 62935, 'publicationYear': None, 'genre': None}, {'bookId': 250498, 'publicationYear': None, 'genre': None}]"
270257,[]
289789,"[{'bookId': 1095882, 'publicationYear': 1991, 'genre': None}, {'bookId': 731768, 'publicationYear': 2000, 'genre': None}, {'bookId': 499451, 'publicationYear': 2008, 'genre': None}, {'bookId': 1461019, 'publicationYear': 2001, 'genre': ['History', 'Biography']}]"
319474,"[{'bookId': 544136, 'publicationYear': 2017, 'genre': None}]"
920723,"[{'bookId': 1507580, 'publicationYear': 2007, 'genre': None}]"
734616,"[{'bookId': 1308675, 'publicationYear': None, 'genre': None}]"
653497,"[{'bookId': 1107731, 'publicationYear': None, 'genre': None}, {'bookId': 1281884, 'publicationYear': None, 'genre': None}]"
78916,"[{'bookId': 47222, 'publicationYear': None, 'genre': None}]"
270256,[]
653493,"[{'bookId': 1107719, 'publicationYear': None, 'genre': ['Fiction', 'Dystopian', 'Thriller', 'Crime', 'Punishment']}, {'bookId': 1299509, 'publicationYear': None, 'genre': None}]"
78921,[]
731891,"[{'bookId': 1300267, 'publicationYear': None, 'genre': None}]"
159982,"[{'bookId': 177395, 'publicationYear': None, 'genre': None}]"
706259,"[{'bookId': 1238379, 'publicationYear': None, 'genre': None}, {'bookId': 1238282, 'publicationYear': None, 'genre': None}]"
763010,"[{'bookId': 1376560, 'publicationYear': None, 'genre': None}, {'bookId': 1377123, 'publicationYear': None, 'genre': None}, {'bookId': 1377578, 'publicationYear': None, 'genre': None}, {'bookId': 1377543, 'publicationYear': None, 'genre': None}]"
920724,[]
159981,"[{'bookId': 110544, 'publicationYear': None, 'genre': None}]"
538034,"[{'bookId': 1188464, 'publicationYear': 2015, 'genre': None}, {'bookId': 908968, 'publicationYear': 1987, 'genre': None}, {'bookId': 1356552, 'publicationYear': None, 'genre': None}]"
538032,"[{'bookId': 908965, 'publicationYear': 2001, 'genre': None}]"
205605,"[{'bookId': 647466, 'publicationYear': 2010, 'genre': None}, {'bookId': 308506, 'publicationYear': None, 'genre': None}]"
992551,[]
205632,"[{'bookId': 134321, 'publicationYear': None, 'genre': None}, {'bookId': 658407, 'publicationYear': 2004, 'genre': None}]"
205654,"[{'bookId': 154676, 'publicationYear': None, 'genre': None}]"
538033,"[{'bookId': 908965, 'publicationYear': 2001, 'genre': None}]"
208147,"[{'bookId': 217542, 'publicationYear': None, 'genre': None}]"
208152,"[{'bookId': 298681, 'publicationYear': None, 'genre': None}]"
920773,"[{'bookId': 1507625, 'publicationYear': 1987, 'genre': ['Mathematics']}]"
270243,"[{'bookId': 354961, 'publicationYear': 1908, 'genre': ['Fantasy', 'Adventure', 'Science fiction', 'Classics']}]"
734617,"[{'bookId': 1308676, 'publicationYear': None, 'genre': None}]"
289791,"[{'bookId': 499454, 'publicationYear': 2018, 'genre': None}, {'bookId': 1365066, 'publicationYear': 1981, 'genre': None}, {'bookId': 807300, 'publicationYear': 2006, 'genre': None}]"
