bookId,title,publicationYear,description,language,reviews,publisherId
173167,Single Mum Seeks...,,"Gorgeous men were like chocolate... Delicious and mostly bad for you. At least that's what single mother Lily thought. Especially when Nick moved in next door. After her divorce, Lily wanted nothing to do with men ever again. But when Nick needed help keeping the local women at bay, he turned to her. The idea was simple: pretend they were a couple to ward off the others. But as they grew closer, Lily found herself wishing 'let's pretend' could be real life...",English,[],
1703180,Four Nights With The Devil: A True Story Of Deliverance From Evil,2013,,English,[],
1141986,Salt City,2012,,English,[],
1464521,It's Not Me It's You,2022,,English,[],19622
1314628,Владыка ледяного сада: В сердце тьмы,2011,,English,"[{'reviewiId': 4677486, 'score': 1.0, 'comment': None, 'date': '2019-10-24', 'userId': 20644}, {'reviewiId': 3001704, 'score': 5.0, 'comment': None, 'date': '2020-09-28', 'userId': 11305}]",
173229,Beautiful Brittany,,"If Brittany is chosen as a model for the new fashion catalog and  Meg is left out, will it mean the end of the Always Friends Club?",English,[],
1703150,Hell's Wasteland: The Pennsylvania Torso Murders,2013,"Did the Mad Butcher of Cleveland also strike in Pennsylvania? From 1934 to 1938, Cleveland, Ohio, was racked by a classic battle between good and evil. On one side was the city's safety director, Eliot Ness. On the other was a nameless phantom dubbed the ""Mad Butcher of Kingsbury Run,"" who littered the inner city with the remains of decapitated and dismembered corpses. Never caught or even officially identified, the Butcher simply faded into history, leaving behind a frightening legend that both haunts and fascinates Cleveland to this day. In 2001 the Kent State University Press published James Jessen Badal's In the Wake of the Butcher: Cleveland's Torso Murders, the first serious, book-length treatment of this dark chapter in true crime history. Though Murder Has No Tongue: The Lost Victim of Cleveland's Mad Butcher--a detailed study of the arrest and mysterious death of Frank Dolezal, the only man ever charged in the killings--followed in 2010. Now Badal concludes his examination of the horrific cycle of murder-dismemberments with Hell's Wasteland: The Pennsylvania Torso Murders. During the mid-1920s, a vast, swampy area just across the Ohio border near New Castle, Pennsylvania, revealed a series of decapitated and otherwise mutilated bodies. In 1940 railroad workers found the rotting remains of three naked and decapitated bodies in a string of derelict boxcars awaiting destruction in Pennsylvania's Stowe Township. Were all of these terrible murders the work of Cleveland's Mad Butcher? Many in Ohio and Pennsylvania law enforcement thought they were, and that assumption led to a massive, well-coordinated two-state investigation. In Hell's Wasteland, Badal explores that nagging question in depth for the first time. Relying on police reports, unpublished memoirs, and the surviving autopsy protocols--as well as contemporary newspaper coverage-- Badal provides a detailed examination of the murder-dismemberments and weighs the evidence that potentially links them to the Cleveland carnage. Hell's Wasteland is the last piece in the gigantic torso murder puzzle that spanned three decades, covered two states, and involved law enforcement from as many as five different cities.",English,[],11932
1464541,Disney Manga: Pixar's WALL-E,2018,"Wall-E is a trash compactor robot -- the last one of his kind! -- and every day for hundreds of years he's faithfully cleaned and organized the millions of tons of trash left behind on Earth by humans. But his routine is flipped upside down when he finds a tiny green plant, the first new sign of life for centuries!",English,[],168985
1093011,O Quarto do Bebé,2023,,English,"[{'reviewiId': 1378018, 'score': 4.0, 'comment': None, 'date': '2023-08-09', 'userId': 5902}]",
1141994,Reprisal,1993,,English,[],
1141995,Detective Jason Strong; Books 1-3,2012,,English,[],
